week,year,crop,doy,mean_ndvi,q25_ndvi,q75_ndvi,n_pixels
28,2010,soy,298,0.6718773803710938,0.636,0.708,3743352
29,2010,soy,305,0.6876715698242187,0.652,0.716,3743352
0,2010,wheat,102,0.7648753662109375,0.704,0.824,1050103
1,2010,wheat,109,0.7867540893554688,0.72,0.856,1050103
2,2010,wheat,116,0.8145625610351562,0.76,0.88,1050103
3,2010,wheat,123,0.8336962890625,0.784,0.896,1050103
4,2010,wheat,130,0.7941995239257813,0.744,0.86,1050103
5,2010,wheat,137,0.828688720703125,0.78,0.884,1050103
6,2010,wheat,144,0.8394430541992187,0.8,0.888,1050103
7,2010,wheat,151,0.8183298950195312,0.772,0.868,1050103
8,2010,wheat,158,0.7775569458007813,0.72,0.832,1050103
9,2010,wheat,165,0.7980110473632812,0.74,0.852,1050103
10,2010,wheat,172,0.7783185424804687,0.72,0.832,1050103
11,2010,wheat,179,0.7708081665039063,0.708,0.832,1050103
12,2010,wheat,186,0.7667095336914063,0.704,0.824,1050103
13,2010,wheat,193,0.77674462890625,0.712,0.84,1050103
14,2010,wheat,200,0.7626502685546875,0.696,0.828,1050103
15,2010,wheat,207,0.7699905395507812,0.704,0.832,1050103
16,2010,wheat,214,0.7662313232421875,0.696,0.828,1050103
17,2010,wheat,221,0.764751953125,0.704,0.816,1050103
18,2010,wheat,228,0.764519287109375,0.7,0.82,1050103
19,2010,wheat,235,0.76089599609375,0.7,0.816,1050103
20,2010,wheat,242,0.7472362670898437,0.684,0.804,1050103
21,2010,wheat,249,0.7283920288085938,0.672,0.772,1050103
22,2010,wheat,256,0.7235025634765625,0.668,0.772,1050103
23,2010,wheat,263,0.7184285278320313,0.668,0.76,1050103
24,2010,wheat,270,0.7154446411132812,0.668,0.756,1050103
25,2010,wheat,277,0.7063735961914063,0.664,0.736,1050103
26,2010,wheat,284,0.7076083984375,0.664,0.74,1050103
27,2010,wheat,291,0.7041239013671875,0.66,0.74,1050103
28,2010,wheat,298,0.7049821166992187,0.656,0.744,1050103
29,2010,wheat,305,0.7128012084960937,0.656,0.76,1050103
0,2011,corn,101,0.6782868041992187,0.64,0.704,4737932
1,2011,corn,108,0.622990478515625,0.576,0.66,4737932
2,2011,corn,115,0.6777137451171875,0.632,0.708,4737932
3,2011,corn,122,0.6951283569335938,0.644,0.732,4737932
4,2011,corn,129,0.6969451904296875,0.644,0.74,4737932
5,2011,corn,136,0.7134124145507813,0.656,0.76,4737932
6,2011,corn,143,0.7124229125976562,0.656,0.76,4737932
7,2011,corn,150,0.7542550659179688,0.7,0.8,4737932
