crop,doy,posterior_mean,posterior_iqr_25,posterior_iqr_75,ci_05,ci_95
soy,137,0.71944,0.70647,0.73267,0.68876,0.75118
soy,138,0.72064,0.7077,0.73203,0.68913,0.75115
soy,139,0.72193,0.70913,0.73456,0.68903,0.7526
soy,140,0.72331,0.71112,0.73579,0.69146,0.75499
soy,140,0.72477,0.71204,0.73702,0.69279,0.75448
soy,141,0.72632,0.71299,0.73905,0.69484,0.75602
soy,142,0.72794,0.71487,0.74018,0.69676,0.75804
soy,143,0.72962,0.71777,0.74296,0.69902,0.76057
soy,143,0.73136,0.71816,0.74462,0.69859,0.76291
soy,144,0.73315,0.7205,0.74586,0.70243,0.76501
soy,145,0.73499,0.72267,0.74792,0.70322,0.76709
soy,145,0.73685,0.72283,0.74974,0.70527,0.76794
soy,146,0.73872,0.72598,0.75131,0.70802,0.76947
soy,147,0.74061,0.72845,0.75349,0.70908,0.7725
soy,148,0.7425,0.72941,0.75571,0.70973,0.77409
soy,148,0.74438,0.73184,0.75799,0.71406,0.77674
soy,149,0.74625,0.73297,0.75947,0.71444,0.77755
soy,150,0.74809,0.73423,0.76057,0.71582,0.77886
soy,150,0.74992,0.73677,0.76319,0.71795,0.78082
soy,151,0.75172,0.73752,0.76464,0.71947,0.78344
soy,152,0.7535,0.73986,0.76646,0.72225,0.78452
soy,153,0.75527,0.7424,0.76768,0.72473,0.78641
soy,153,0.75702,0.74439,0.76981,0.72454,0.79018
soy,154,0.75876,0.74512,0.77096,0.72592,0.7888
soy,155,0.7605,0.7485,0.77504,0.72943,0.79407
soy,156,0.76226,0.7496,0.77521,0.73168,0.79433
soy,156,0.76404,0.75079,0.77721,0.7326,0.79543
soy,157,0.76587,0.75323,0.77915,0.73284,0.7967
soy,158,0.76775,0.75442,0.78099,0.73606,0.79725
soy,158,0.76969,0.75716,0.78291,0.73835,0.80096
soy,159,0.77172,0.75834,0.78441,0.7389,0.80179
soy,160,0.77385,0.76025,0.78613,0.74085,0.80565
soy,161,0.77609,0.76341,0.78955,0.74586,0.80799
soy,161,0.77846,0.76566,0.79076,0.74855,0.80866
soy,162,0.78096,0.76819,0.79392,0.74921,0.81237
